fold,iso,a,b,c,lat,lng,training_count
3,BY,0,2,1,55.29192945221169,29.170894420408615,7
3,BY,0,2,5,55.17003875758956,27.7885604059359,4
3,BY,0,2,15,55.704282447565134,28.57842388774746,90
3,BY,0,7,14,54.8711,28.711919000000005,1
3,BY,0,8,5,55.16943600000001,27.053138,1
3,BY,1,0,9,51.82470763917638,29.493870680696958,65
3,BY,1,0,10,51.922898,30.420236000000003,1
3,BY,1,3,17,52.532642909804245,29.325027256856185,4
3,BY,1,4,7,52.577014000000005,30.504958,1
3,BY,1,4,9,52.233854,30.133001999999998,1
3,BY,1,4,10,52.26027656056169,31.081455066633268,36
3,BY,2,1,0,53.13505525070271,26.027795144186793,3
3,BY,2,6,12,52.3398869945925,24.127397817629546,20
3,BY,2,6,13,53.50425773395796,24.195002359940954,12
3,BY,2,9,0,53.038224951563556,25.608256629286473,7
3,BY,2,9,2,52.42143574719798,25.620053575399442,24
3,BY,2,9,12,52.43988207205417,24.987132459344636,9
3,BY,3,1,8,53.620170603896405,27.539206697568634,15
3,BY,3,7,8,54.02109638556309,27.61728929152369,6
3,BY,3,7,14,54.35677943126299,28.38422540002316,43
3,BY,4,3,7,52.99127815895579,30.111582377547077,9
3,BY,4,3,17,53.07725280340882,29.302014626774724,33
3,BY,4,4,7,52.76933355848828,30.72863286410529,19
3,BY,4,10,4,53.63301159836917,31.590101031998206,19
3,BY,4,10,7,53.14542858025087,30.522836063470255,11
3,BY,4,10,16,53.71946800481104,30.37767362414353,39
3,BY,5,1,0,53.51573365929637,26.301692981615684,11
3,BY,5,1,8,53.61213376200299,26.980324182554682,2
3,BY,5,8,3,54.33812046807778,26.131776914252125,43
3,BY,5,8,5,54.961610562615974,26.824427928410636,9
3,BY,5,8,13,53.84001873705497,25.32998446085017,3
3,BY,6,1,0,53.01505723927756,26.78356687043173,6
3,BY,6,1,8,53.1695064792738,27.405604881581397,13
3,BY,6,5,2,51.935879603338094,26.59436495273119,2
3,BY,6,5,11,52.2304059613137,27.62536876214062,41
3,BY,6,9,2,52.10458340605978,26.18264162069177,8
3,BY,7,11,1,55.23045746863386,30.002740163542217,51
3,BY,7,11,6,54.6324402201286,30.46189342927419,22
3,DE,8,12,22,52.84350491430685,8.05169503405755,37
3,DE,8,12,29,52.504140403782316,7.141381199268893,2
3,DE,8,17,25,52.15496876710493,9.847692287766858,7
3,DE,8,17,32,52.58888243568273,9.734511163043035,4
3,DE,8,18,25,51.84986600833937,8.933095668492918,4
3,DE,8,18,28,51.36159076296987,8.770628486820383,2
3,DE,8,18,29,51.868744924610034,7.319180454023632,34
3,DE,8,22,25,51.72014938455448,9.519493835568857,5
3,DE,9,14,24,52.567669798649014,14.230853873180067,5
3,DE,9,16,19,51.97211438701449,12.706092094031073,12
3,DE,9,16,23,51.05199719250644,13.064132498899266,36
3,DE,9,16,24,52.266476178769125,14.030347760549514,6
3,DE,9,16,35,51.5898787245643,14.262251386442198,44
3,DE,9,22,19,51.794451541662006,11.709829040234565,2
3,DE,9,22,23,51.443089,11.900585999999999,1
3,DE,10,13,18,49.17623081559709,11.101184289569453,19
3,DE,10,13,21,49.34141585736038,11.997351828739161,2
3,DE,10,20,21,48.45537264849373,12.564781473563102,42
3,DE,10,21,18,48.565457,10.732096,1
3,DE,10,21,31,47.80385626444734,11.140450774893758,22
3,DE,11,14,19,52.73838754069538,12.372678229315824,15
3,DE,11,14,24,52.95939226415483,13.763875942674213,27
3,DE,11,14,34,53.86148922952442,12.582031022357414,24
3,DE,11,16,19,52.224396000000006,12.591949,1
3,DE,11,17,19,52.3372038351564,11.765725275518355,14
3,DE,11,17,25,52.283887000299934,10.826908253696663,2
3,DE,11,17,32,52.968337616180214,11.054655926594878,20
3,DE,11,17,34,53.57567319130854,11.467883550275388,4
3,DE,11,23,34,53.924532,11.486047000000001,1
3,DE,12,12,22,53.47183309342298,8.210953113688133,28
3,DE,12,12,32,53.100338,9.429947999999998,1
3,DE,12,17,32,53.1664825086252,10.207712471016055,23
3,DE,12,23,22,53.503246000000004,9.077636000000002,1
3,DE,12,23,26,54.24071934329801,9.376688614995544,56
3,DE,12,23,32,53.526047975637866,9.895743799986285,9
3,DE,12,23,34,54.423635999999995,11.172715,1
3,DE,13,13,18,49.232289656306854,9.99070938052906,16
3,DE,13,13,33,49.501381,9.445238,1
3,DE,13,15,18,48.730742326522304,9.733524383742834,6
3,DE,13,15,27,48.094946891858974,8.706286282152197,32
3,DE,13,15,33,49.030911992482785,8.552674347137021,17
3,DE,13,19,33,49.5273843067565,8.983453944666335,3
3,DE,13,21,18,48.527593862548215,10.278223840787625,2
3,DE,13,21,31,47.86019328293807,10.191160105184721,20
3,DE,14,18,28,51.02214961007331,8.421507514981021,5
3,DE,14,18,29,51.21455130498417,7.272140696733344,15
3,DE,14,19,28,50.56439047679175,8.674894412126385,20
3,DE,14,19,30,50.23647862928459,7.120257986976905,47
3,DE,14,19,33,49.62470649656885,8.113817357501135,14
3,DE,15,13,18,49.64092050642298,10.59713796099533,5
3,DE,15,13,20,49.99167020639992,11.222212056340751,15
3,DE,15,17,25,51.994144194925404,10.559292784112,2
3,DE,15,19,28,50.13126057075405,9.332278254019764,8
3,DE,15,22,19,51.49156800000001,11.578659999999998,1
3,DE,15,22,20,50.735928000994285,10.832002142177428,35
3,DE,15,22,23,51.25222620761541,11.829700044203703,2
3,DE,15,22,25,51.4059629766133,10.36792405100293,17
3,DE,15,22,28,50.633388962437856,9.500528872106868,3
3,ES,16,26,41,43.2792055555509,-5.689454034043719,19
3,ES,16,31,41,42.546068,-6.545819,1
3,ES,16,31,47,43.070428066479465,-8.128284322546287,74
3,ES,17,27,39,37.411548803288795,-1.9953300212108829,2
3,ES,17,27,43,36.96538400000001,-2.103976,1
3,ES,17,30,39,38.061613959886806,-0.9049676448809982,53
3,ES,17,30,46,39.28566302064341,-0.6309756819655897,45
3,ES,17,33,39,38.216162,-2.4546,1
3,ES,17,33,50,39.02926654021092,-2.5070872489276064,14
3,ES,18,35,42,28.56590843386974,-17.398301836720435,31
3,ES,19,25,37,28.895853476266414,-13.688367305031077,48
3,ES,19,25,51,28.06210215924601,-14.62247562146708,30
3,ES,20,24,36,41.31584184275441,0.9325170752319899,31
3,ES,20,24,52,42.008781345226204,2.760008833552415,39
3,ES,20,30,46,40.3290281037933,-0.00469560130872684,6
3,ES,20,34,53,41.94067358621261,-0.7034727816182346,26
3,ES,21,26,38,43.23845307992337,-3.424027555063439,4
3,ES,21,26,41,43.06931208704884,-4.808691767310656,23
3,ES,21,28,48,40.75890732122964,-5.119086611367835,32
3,ES,21,28,49,41.152870792937904,-3.7724846638830756,13
3,ES,21,28,50,40.169039117800985,-3.762795086096299,4
3,ES,21,33,49,40.456357000000004,-2.5443070000000003,1
3,ES,21,33,50,39.92682881112999,-3.7594576140912865,5
3,ES,21,34,38,42.76264689631393,-2.5814137702087843,16
3,ES,21,34,49,41.63655836639131,-2.9603265011602167,25
3,ES,21,34,53,41.94257118108706,-1.606122396788638,7
3,ES,22,29,40,39.55939263798409,3.126555599452645,103
3,ES,23,27,43,37.15050253857841,-3.614749094135372,66
