fold,partition,iso,country_index,local_label,global_label,lat,lng,training_count
3,a,BY,0,0,0,55.64252057776897,28.574341584167865,103
3,a,BY,0,1,1,52.010159896819076,30.037612623432437,108
3,a,BY,0,2,2,52.6633729098693,24.934195655984798,75
3,a,BY,0,3,3,54.15328968116571,28.11150252410385,64
3,a,BY,0,4,4,53.30817509212535,30.324709162490013,130
3,a,BY,0,5,5,54.244717581242,26.239441986716162,68
3,a,BY,0,6,6,52.45030054455352,27.31803072647708,70
3,a,BY,0,7,7,55.05041676390604,30.14255648217061,73
3,b,BY,0,0,0,51.82624958133512,29.50787606618151,66
3,b,BY,0,1,1,53.37922742504477,27.02804729943994,50
3,b,BY,0,2,2,55.65474649294012,28.588198299749536,101
3,b,BY,0,3,3,53.01350450486217,29.462510642252123,46
3,b,BY,0,4,4,52.435234100487854,30.937943536121445,57
3,b,BY,0,5,5,52.21690733483856,27.57711410199455,43
3,b,BY,0,6,6,52.77652630439465,24.15232486089659,32
3,b,BY,0,7,7,54.327055585967884,28.29797793454496,50
3,b,BY,0,8,8,54.426976143073254,26.214225573631182,56
3,b,BY,0,9,9,52.46257153485542,25.594147654311158,48
3,b,BY,0,10,10,53.605316771901094,30.734689551278844,69
3,b,BY,0,11,11,55.05041676390604,30.14255648217061,73
3,c,BY,0,0,0,53.23910682211747,26.198207208487403,27
3,c,BY,0,1,1,55.23817634000411,29.902483561558398,58
3,c,BY,0,2,2,52.31871982549709,25.810872017579225,34
3,c,BY,0,3,3,54.33812046807778,26.131776914252125,43
3,c,BY,0,4,4,53.63301159836917,31.590101031998206,19
3,c,BY,0,5,5,55.03676004459029,27.115252743187355,14
3,c,BY,0,6,6,54.6324402201286,30.46189342927419,22
3,c,BY,0,7,7,52.91813336750629,30.528099511808662,40
3,c,BY,0,8,8,53.523890306770724,27.472434554845226,36
3,c,BY,0,9,9,51.830932516811245,29.503467615844578,66
3,c,BY,0,10,10,52.25120708799101,31.063452503395226,37
3,c,BY,0,11,11,52.23040596131369,27.625368762140624,41
3,c,BY,0,12,12,52.371587185078276,24.393794908351733,29
3,c,BY,0,13,13,53.57226563299122,24.420549963605108,15
3,c,BY,0,14,14,54.36847832620339,28.39158163948758,44
3,c,BY,0,15,15,55.704282447565134,28.57842388774746,90
3,c,BY,0,16,16,53.71946800481104,30.37767362414353,39
3,c,BY,0,17,17,53.01837634290889,29.304530430954944,37
3,coarse,BY,0,0,0,55.43976054215049,29.097347359541658,168
3,coarse,BY,0,1,1,52.13537463185346,30.084673236638455,129
3,coarse,BY,0,2,2,52.63677274711511,25.02269265963713,81
3,coarse,BY,0,3,3,52.494925462741165,27.590744143770618,69
3,coarse,BY,0,4,4,54.161290147453215,27.004484410834134,125
3,coarse,BY,0,5,5,53.59778790504808,30.427851232167317,119
3,fine,BY,0,0,0,54.674392867838854,26.247149580463095,34
3,fine,BY,0,1,1,54.975466915943436,30.329349643076952,54
3,fine,BY,0,2,2,51.84505203726969,29.21813475692142,47
3,fine,BY,0,3,3,55.77436559402672,28.43962246472499,70
3,fine,BY,0,4,4,52.071990929688276,26.192368800439134,21
3,fine,BY,0,5,5,54.388393920134476,28.382297177341037,42
3,fine,BY,0,6,6,53.77664999217153,27.549560317399166,23
3,fine,BY,0,7,7,53.01837634290889,29.304530430954944,37
3,fine,BY,0,8,8,52.33403724219051,24.162752378441525,21
3,fine,BY,0,9,9,53.64120630128313,31.56029756581047,20
3,fine,BY,0,10,10,53.50425773395796,24.195002359940954,12
3,fine,BY,0,11,11,53.94927779864657,26.10388803549007,26
3,fine,BY,0,12,12,52.643837089349496,25.465903554544063,33
3,fine,BY,0,13,13,55.3380318550864,29.18211255018876,50
3,fine,BY,0,14,14,53.72149603761606,30.332224092167678,39
3,fine,BY,0,15,15,52.30180918204354,31.17981063544046,31
3,fine,BY,0,16,16,51.83987293804835,30.27020505126804,25
3,fine,BY,0,17,17,52.91813336750629,30.528099511808662,40
3,fine,BY,0,18,18,53.21948689513563,26.979753545694564,29
3,fine,BY,0,19,19,52.26173073794132,27.702404550414073,37
3,a,DE,1,0,8,52.29694426099126,8.102250295943822,95
3,a,DE,1,1,9,51.53946586195995,13.591950850624611,106
3,a,DE,1,2,10,48.47209080915694,11.842558326784706,86
3,a,DE,1,3,11,53.0665778781489,12.374123828336725,108
3,a,DE,1,4,12,53.78596836544656,9.315621825741054,119
3,a,DE,1,5,13,48.50736257653323,9.310038906497395,97
3,a,DE,1,6,14,50.40255897412213,7.6527559902289735,101
3,a,DE,1,7,15,50.66815307204817,10.638991331969006,88
3,b,DE,1,0,12,53.09627441243353,8.109823974624902,68
3,b,DE,1,1,13,49.45541612007224,10.783581670219755,58
3,b,DE,1,2,14,53.19197194034564,13.106998835300057,71
3,b,DE,1,3,15,48.45411684970619,8.770796926105547,55
3,b,DE,1,4,16,51.48980683690032,13.605377109792403,99
3,b,DE,1,5,17,52.80741709659306,10.752227166605822,76
3,b,DE,1,6,18,51.617714097547996,7.5560639161673455,60
3,b,DE,1,7,19,50.18524171221645,7.8626110161269125,92
3,b,DE,1,8,20,48.45537264849373,12.564781473563109,42
3,b,DE,1,9,21,47.87892784484977,10.671604179048146,45
3,b,DE,1,10,22,51.04960593893422,10.637870457570727,66
3,b,DE,1,11,23,54.13388551349347,9.499323425202114,68
3,c,DE,1,0,18,49.14976211206005,10.47776060014958,49
3,c,DE,1,1,19,52.32882687672916,12.230602595565685,45
3,c,DE,1,2,20,50.5127889380362,10.95035462757117,50
3,c,DE,1,3,21,48.495707269268685,12.539421388045165,44
3,c,DE,1,4,22,53.12014814933339,8.134111850453408,66
3,c,DE,1,5,23,51.07273616944522,12.971482496726576,39
3,c,DE,1,6,24,52.79856526315814,13.868234685622458,38
3,c,DE,1,7,25,51.71852185422968,10.035927857941749,37
3,c,DE,1,8,26,54.24071934329801,9.376688614995544,56
3,c,DE,1,9,27,48.094946891858974,8.706286282152197,32
3,c,DE,1,10,28,50.58136845252603,8.851646378301998,38
3,c,DE,1,11,29,51.70125729339062,7.298348027105273,51
3,c,DE,1,12,30,50.23647862928459,7.120257986976905,47
3,c,DE,1,13,31,47.83165940225056,10.688664576560381,42
3,c,DE,1,14,32,53.11309926861152,10.409835428441074,57
3,c,DE,1,15,33,49.32486793658779,8.440385297523212,35
3,c,DE,1,16,34,53.84512508246118,12.349738749452818,30
3,c,DE,1,17,35,51.5898787245643,14.262251386442198,44
3,coarse,DE,1,0,6,51.002799718460984,7.600874513855193,128
3,coarse,DE,1,1,7,48.39842043351282,11.480477673186712,112
3,coarse,DE,1,2,8,53.458199883871664,9.442706492442003,199
3,coarse,DE,1,3,9,48.89150165775941,8.823328682356166,94
3,coarse,DE,1,4,10,52.27126807452911,13.377090056624896,162
3,coarse,DE,1,5,11,50.82167810226764,10.978396846070229,105
3,fine,DE,1,0,20,51.74598447161197,9.961629732047697,34
3,fine,DE,1,1,21,48.03879522296024,8.391088213836928,22
3,fine,DE,1,2,22,53.38656240768328,8.018310338726996,40
3,fine,DE,1,3,23,51.53607491439332,7.217317101313288,40
3,fine,DE,1,4,24,52.86389601011263,13.840314526862393,34
3,fine,DE,1,5,25,51.65877635735521,14.182854382995714,51
